Record Type,VIN,Registration Class,City,State,Zip,County,Model Year,Make,Body Type,Fuel Type,Unladen Weight,Maximum Gross Weight,Passengers,Reg Valid Date,Reg Expiration Date,Color,Scofflaw Indicator,Suspension Indicator,Revocation Indicator
VEH ,1N4AZ0CPXFC319518,PAS,BUCHANAN       ,NY,10511,WESTCHESTER ,2015,NISSA,4DSD,ELECTRIC,3328,,,03/06/2018,03/05/2020,GY   ,N,N,N
VEH ,1N4AZ0CPXFC317588,PAS,PLATTSBURGH    ,NY,12901,CLINTON     ,2015,NISSA,4DSD,ELECTRIC,3256,,,08/28/2018,03/01/2019,GY   ,N,N,N
VEH ,1N4AZ0CPXFC316747,PAS,SLEEPY HOLLOW  ,NY,10591,WESTCHESTER ,2015,NISSA,4DSD,ELECTRIC,3243,,,08/16/2017,08/15/2019,BK   ,N,N,N
VEH ,1N4AZ0CPXFC316246,PAS,SEAFORD        ,NY,11783,NASSAU      ,2015,NISSA,4DSD,ELECTRIC,3243,,,11/04/2016,12/05/2018,RD   ,N,N,N
VEH ,1N4AZ0CPXFC314612,PAS,WAPPINGERS FAL ,NY,12590,DUTCHESS    ,2015,NISSA,4DSD,ELECTRIC,3243,,,08/10/2017,08/09/2019,BK   ,N,N,N
VEH ,1N4AZ0CPXFC309846,PAS,BROOKTONDALE   ,NY,14817,TOMPKINS    ,2015,NISSA,4DSD,ELECTRIC,3243,,,04/30/2018,04/29/2020,GY   ,N,N,N
VEH ,1N4AZ0CPXFC308860,PAS,NISKAYUNA      ,NY,12309,SCHENECTADY ,2015,NISSA,4DSD,ELECTRIC,3243,,,07/15/2017,08/14/2019,GY   ,N,N,N
VEH ,1N4AZ0CPXFC306946,PAS,BUFFALO        ,NY,14214,ERIE        ,2015,NISSA,4DSD,ELECTRIC,3243,,,10/06/2017,10/05/2019,WH   ,N,N,N
VEH ,1N4AZ0CPXFC306882,PAS,ROCHESTER      ,NY,14609,MONROE      ,2015,NISSA,4DSD,ELECTRIC,3256,,,06/06/2017,06/05/2019,GY   ,N,N,N
VEH ,1N4AZ0CPXFC300516,PAS,MOHAWK         ,NY,13407,HERKIMER    ,2015,NISSA,4DSD,ELECTRIC,3320,,,08/07/2018,08/05/2020,RD   ,N,N,N
VEH ,1N4AZ0CPXFC300323,PAS,ENDWELL        ,NY,13760,BROOME      ,2015,NISSA,4DSD,ELECTRIC,3276,,,10/06/2017,10/05/2019,WH   ,N,N,N
VEH ,1N4AZ0CPXEC338844,PAS,SAUGERTIES     ,NY,12477,ULSTER      ,2014,NISSA,4DSD,ELECTRIC,3242,,,09/13/2018,09/04/2020,BL   ,N,N,N
VEH ,1N4AZ0CPXEC337922,PAS,ITHACA         ,NY,14850,TOMPKINS    ,2014,NISSA,4DSD,ELECTRIC,3242,,,06/18/2018,09/09/2020,WH   ,N,N,N
VEH ,1N4AZ0CPXEC336074,PAS,NEW YORK       ,NY,10009,NEW YORK    ,2014,NISSA,4DSD,ELECTRIC,3326,,,09/21/2018,10/02/2020,GY   ,N,N,N
VEH ,1N4AZ0CPXEC335412,PAS,HUDSON         ,NY,12534,COLUMBIA    ,2014,NISSA,4DSD,ELECTRIC,3242,,,04/08/2018,04/10/2020,BL   ,N,N,N
VEH ,1N4AZ0CPXEC332221,PAS,OSSINING       ,NY,10562,WESTCHESTER ,2014,NISSA,4DSD,ELECTRIC,3277,,,03/07/2017,03/15/2019,GY   ,N,N,N
